SYMBOL,Log2FC
CNIH3,4.052631099994043
CYP27A1,3.7641494881998225
HERC5,3.168439552644659
ACAN,5.478395005865946
NKX2-3,4.893432505
SLC2A3,4.254314234376728
NUAK1,3.0135089571365397
ARHGAP10,3.4097533402608144
PTPRC,5.136289029040952
CSF3R,4.893432505144789
PIK3R5,4.731969082450673
FGFR1,2.8763589917858474
LMOD1,4.080518057745284
MILR1,4.793896831593875
ARHGAP9,4.319965643261462
SVEP1,4.342022564
PEAK1,2.5081157039859447
USP9Y,5.256002584529498
HECW2,3.099435965942204
BICC1,2.982054518543957
ZNF366,4.622130483327395
GAB3,5.31873834
RAB7B,4.571504410257427
GRP,4.519036990363292
CCN2,2.4797281601646204
AMIGO2,3.187493806599207
SLC35F1,4.819431923701012
SPSB1,2.7122294352511642
IFITM2,2.7021542629662987
RIMKLB,3.1628646821767346
TPM2,2.3697161868670156
PODXL,2.4264333417779227
SLC9A9,5.321526157249078
CRIP1,2.396039974
TM6SF1,5.095066366
IL1B,3.942760217508358
ST3GAL5,3.6054517421807653
GPAT2,4.492069942763022
UBE2E2,3.332717551
DOCK2,4.445973528173568
JAM2,4.703954706281076
GPSM3,2.8044815822350406
RORA,3.416226184779516
MAPK11,4.291396491064692
CCL4,4.355775719
CHN1,5.066269102007004
RASSF8,3.807132658750569
SLC12A4,2.5513968368088515
IRAK3,4.497503828813651
TIMP3,2.308545123271943
FAM107B,2.6761379514480197
PDE4D,2.6329049549215697
FHL1,4.464589206340915
PEAR1,5.571504410257427
GJA5,5.893432505
A4GALT,4.291396491064692
SPOCK2,4.548784333757343
CCL3,5.102019126956207
SYNPO2,3.330496310753632
PSMB9,2.608979116
ANXA5,2.355775719201989
ALOX5,4.335950740845739
GIMAP5,5.095066366314439
IL12RB1,5.095066366314439
CRISPLD1,5.016289252930323
ANO1,4.107557310497637
DEGS1,2.51609129
HSD17B2,4.018963387228647
USP18,3.277773207200717
PTPRS,3.279323658764117
PHACTR1,3.7520766558992484
GPR65,4.277773207200717
SYNC,4.002138765
C1orf162,4.156466910978583
MAGEH1,2.998514551202347
BATF3,4.436574830171319
GPC4,2.9761999653148115
LIPA,2.518716995897992
DHX32,3.705805501969018
FLI1,5.156466910978583
CD180,4.666661643297766
PLCL1,3.378859332315031
TGFB3,4.130931818871446
ZNF423,4.082466329534807
PLA2G4C,3.6303980993109954
RNASE6,3.4340008865074907
SH3RF3,3.464589206340915
NEXN,3.491777217786692
ARSB,2.740323474
FOXL1,4.741429412
PABPC4L,5.121701492817906
MITF,3.2370853711868675
TSPAN2,3.132815642913938
